Year,MeanTa,Anomaly
2019,10.47,0.92
2018,10.25,0.7
2017,10.53,0.98
2016,10.29,0.74
2015,9.89,0.34
2014,10.5,0.95
2013,10.01,0.46
2012,10,0.45
2011,10.37,0.82
2010,9.13,-0.42
2009,10.15,0.6
2008,10.15,0.6
2007,10.82,1.27
2006,10.67,1.12
2005,10.57,1.02
2004,10.45,0.9
2003,10.48,0.93
2002,10.41,0.86
2001,9.95,0.4
2000,10.01,0.46
1999,10.41,0.86
1998,10.43,0.88
1997,10.65,1.1
1996,9.56,0.01
1995,10.46,0.91
1994,9.86,0.31
1993,9.58,0.03
1992,9.77,0.22
1991,9.77,0.22
1990,10.27,0.72
1989,10.23,0.68
1988,9.81,0.26
1987,9.39,-0.16
1986,8.76,-0.79
1985,9.15,-0.4
1984,9.64,0.09
1983,10.01,0.46
1982,9.75,0.2
1981,9.52,-0.03
1980,9.46,-0.09
1979,8.8,-0.75
1978,9.59,0.04
1977,9.46,-0.09
1976,9.82,0.27
1975,10.03,0.48
1974,9.41,-0.14
1973,9.77,0.22
1972,9.12,-0.43
1971,10.08,0.53
1970,9.59,0.04
1969,9.29,-0.26
1968,9.55,0
1967,9.54,-0.01
1966,9.65,0.1
1965,9.16,-0.39
1964,9.79,0.24
1963,8.86,-0.69
1962,9.1,-0.45
1961,9.88,0.33
1960,9.66,0.11
1959,10.44,0.89
1958,9.72,0.17
1957,10.07,0.52
1956,9.44,-0.11
1955,9.66,0.11
1954,9.47,-0.08
1953,10.12,0.57
1952,9.42,-0.13
1951,9.28,-0.27
1950,9.52,-0.03
1949,10.62,1.07
1948,10.11,0.56
1947,9.56,0.01
1946,9.63,0.08
1945,10.65,1.1
1944,9.92,0.37
1943,10.15,0.6
1942,9.59,0.04
1941,9.34,-0.21
1940,9.67,0.12
1939,9.76,0.21
1938,9.99,0.44
1937,9.47,-0.08
1936,9.6,0.05
1935,9.61,0.06
1934,10.01,0.46
1933,10.04,0.49
1932,9.71,0.16
1931,9.52,-0.03
1930,9.19,-0.36
1929,9.45,-0.1
1928,9.57,0.02
1927,9.37,-0.18
1926,9.82,0.27
1925,9.12,-0.43
1924,9.39,-0.16
1923,9.2,-0.35
1922,8.98,-0.57
1921,10.47,0.92
1920,9.5,-0.05
1919,8.73,-0.82
1918,9.5,-0.05
1917,8.76,-0.79
1916,9.28,-0.27
1915,8.94,-0.61
1914,9.6,0.05
1913,9.39,-0.16
1912,9.16,-0.39
1911,9.61,0.06
1910,9.14,-0.41
1909,8.9,-0.65
1908,9.67,0.12
1907,9,-0.55
1906,9.3,-0.25
1905,9.3,-0.25
1904,9.08,-0.47
1903,9.12,-0.43
1902,9.17,-0.38
1901,9.13,-0.42
1900,9.33,-0.22
